id,name,city,country,iata,icao,latitude,longitude,altitude,offset,dst,timezone
5940,Cornwall Regional Airport,Cornwall,Canada,YCC,CYCC,45.09280014,-74.56330109,175,-5,A,America/Toronto
5941,Seppe Airport,Bosschenhoofd,Netherlands,\N,EHSE,51.55469894,4.552499771,30,1,E,Europe/Amsterdam
5942,St Stephan Airport,St.Stephan,Switzerland,\N,LSTS,46.49739838,7.41257,3304,1,E,Europe/Zurich
5943,Zona da Mata Regional Airport,Juiz de Fora,Brazil,IZA,SDZY,-21.5130558,-43.17305756,1348,-3,S,America/Sao_Paulo
5944,Flagler County Airport,Flagler,United States,XFL,KXFL,29.4673996,-81.20629883,33,-5,A,America/New_York
5945,Morrisville Stowe State Airport,Morrisville,United States,MVL,KMVL,44.5345993,-72.61399841,732,-5,A,America/New_York
5946,Dallas Executive Airport,Dallas,United States,RBD,KRBD,32.68090057,-96.86820221,660,-6,A,America/Chicago
5947,Como (Idroscalo - Water Ad) Hidroport,Como,Italy,\N,LILY,45.814701,9.06972,663,1,E,Europe/Rome
5948,Westerly State Airport,Washington County,United States,WST,KWST,41.34960175,-71.80339813,81,-5,A,America/New_York
5949,Block Island State Airport,Block Island,United States,BID,KBID,41.16809845,-71.57779694,108,-5,A,America/New_York
5950,Nightmute Airport,Nightmute,United States,NME,PAGT,60.47100067,-164.701004,4,-9,A,America/Anchorage
5951,Toksook Bay Airport,Toksook Bay,United States,OOK,PAOO,60.54140091,-165.0870056,59,-9,A,America/Anchorage
5952,Ittoqqortoormiit Heliport,Ittoqqortoormiit,Greenland,OBY,BGSC,70.48822882,-21.97167993,238,-1,U,America/Scoresbysund
5953,Vinnytsia/Gavyryshivka Airport,Vinnitsa,Ukraine,VIN,UKWW,49.242531,28.613778,961,2,E,Europe/Kiev
5954,Decatur County Industrial Air Park,Bainbridge,United States,BGE,KBGE,30.9715004,-84.63739777,141,-5,A,America/New_York
5955,La Romaine Airport,La Romaine,Canada,\N,CTT5,50.25970078,-60.6794014,90,-4,A,America/Blanc-Sablon
5956,Kegaska Airport,Kegaska,Canada,ZKG,CTK6,50.19580078,-61.26580048,32,-4,A,America/Blanc-Sablon
5957,Black Tickle Airport,Black Tickle,Canada,YBI,CCE4,53.4693985,-55.78499985,57,-4,A,America/Halifax
5958,Silver Springs Airport,Silver Springs,United States,SPZ,KSPZ,39.40299988,-119.2509995,4269,-8,A,America/Los_Angeles
5959,Whiteman Airport,Los Angeles,United States,WHP,KWHP,34.25930023,-118.413002,1003,-8,A,America/Los_Angeles
5960,Madera Municipal Airport,Madera,United States,MAE,KMAE,36.98860168,-120.1119995,255,-8,A,America/Los_Angeles
5961,Trail Airport,Trail,Canada,YZZ,CAD4,49.05559921,-117.6090012,1427,-8,A,America/Vancouver
5962,Victoria Airport,Patricia Bay,Canada,\N,CAP5,48.65389205,-123.4504509,0,-8,A,America/Vancouver
5963,Old Arctic Bay Airport,Arctic Bay,Canada,YAB,CJX7,73.00589225,-85.0325489,100,-6,A,America/Winnipeg
5964,Birchwood Airport,Belmopan,Belize,BCV,PABV,61.41650009,-149.5070038,83,-9,U,America/Anchorage
5965,Grand-Santi Airport,Grand-Santi,French Guiana,\N,SOGS,4.285833,-54.373056,207,-3,S,America/Cayenne
5966,Maripasoula Airport,Maripasoula,French Guiana,MPY,SOOA,3.6575,-54.037201,406,-3,S,America/Cayenne
5967,Saint-Laurent-du-Maroni Airport,Saint-Laurent-du-Maroni,French Guiana,LDX,SOOM,5.48306,-54.034401,16,-3,S,America/Cayenne
