date,price
2012-12-06,691.13117
2012-12-07,684.211152
2012-12-10,685.421178
2012-12-11,696.881167
2012-12-12,697.561198
2012-12-13,702.701189
2012-12-14,701.961181
2012-12-17,720.781248
2012-12-18,721.07121
2012-12-19,720.111264
2012-12-20,722.361247
2012-12-21,715.631209
2012-12-24,709.501191
2012-12-26,708.871213
2012-12-27,706.2912
2012-12-28,700.011208
2012-12-31,707.38121
2013-01-02,723.25123
2013-01-03,723.671256
2013-01-04,737.971262
2013-01-07,734.751286
2013-01-08,733.301227
2013-01-09,738.121237
2013-01-10,741.481263
2013-01-11,739.99126
2013-01-14,723.25123
2013-01-15,724.931273
2013-01-16,715.191211
2013-01-17,711.321223
2013-01-18,704.511235
2013-01-22,702.871197
2013-01-23,741.501296
2013-01-24,754.211317
2013-01-25,753.671274
2013-01-28,750.731274
2013-01-29,753.681322
2013-01-30,753.831296
2013-01-31,755.691272
2013-02-01,775.601349
2013-02-04,759.021279
2013-02-05,765.741331
2013-02-06,770.171333
2013-02-07,773.951324
2013-02-08,785.371369
2013-02-11,782.421322
2013-02-12,780.701335
2013-02-13,782.861321
2013-02-14,787.82138
2013-02-15,792.891346
2013-02-19,806.851398
2013-02-20,792.461334
2013-02-21,795.531336
2013-02-22,799.711381
2013-02-25,790.771365
2013-02-26,790.13134
2013-02-27,799.781345
2013-02-28,801.201384
2013-03-01,806.191401
2013-03-04,821.501406
2013-03-05,838.601424
2013-03-06,831.381396
2013-03-07,832.601408
2013-03-08,831.521445
2013-03-11,834.821433
2013-03-12,827.611391
2013-03-13,825.311416
2013-03-14,821.541411
2013-03-15,814.301411
2013-03-18,807.791372
2013-03-19,811.321406
2013-03-20,814.71139
2013-03-21,811.261367
2013-03-22,810.311407
2013-03-25,809.641362
2013-03-26,812.421402
2013-03-27,802.661367
2013-03-28,794.191369
2013-04-01,801.191398
2013-04-02,813.041394
2013-04-03,806.201387
2013-04-04,795.071366
2013-04-05,783.051362
2013-04-08,774.851354
2013-04-09,777.651304
2013-04-10,790.181331
2013-04-11,790.391345
2013-04-12,790.051329
2013-04-15,781.931333
2013-04-16,793.37135
2013-04-17,782.561372
2013-04-18,765.911339
2013-04-19,799.871342
2013-04-22,800.111374
2013-04-23,807.901403
2013-04-24,813.451373
2013-04-25,809.101381
2013-04-26,801.421383
2013-04-29,819.061382
2013-04-30,824.571408
2013-05-01,820.431429
2013-05-02,829.611416
2013-05-03,845.721469
2013-05-06,861.551483
2013-05-07,857.231449
2013-05-08,873.631526
2013-05-09,871.481464
2013-05-10,880.2315
2013-05-13,877.531533
2013-05-14,887.101527
2013-05-15,915.89158
2013-05-16,903.871576
2013-05-17,909.181575
2013-05-20,908.531564
2013-05-21,906.971536
2013-05-22,889.421534
2013-05-23,882.79154
2013-05-24,873.321468
2013-05-28,881.271518
2013-05-29,868.311479
2013-05-30,870.761489
2013-05-31,871.221521
2013-06-03,867.63151
2013-06-04,859.101473
2013-06-05,859.701493
2013-06-06,864.641457
2013-06-07,879.731524
2013-06-10,890.22152
2013-06-11,879.811535
2013-06-12,871.981501
2013-06-13,877.001476
2013-06-14,875.041517
2013-06-17,886.251549
2013-06-18,900.621519
2013-06-19,900.681558
2013-06-20,884.741513
2013-06-21,880.931503
2013-06-24,869.791496
2013-06-25,866.201484
2013-06-26,873.651498
2013-06-27,877.071501
2013-06-28,880.371488
2013-07-01,887.88154
2013-07-02,882.311537
2013-07-03,886.431543
2013-07-05,893.491549
2013-07-08,905.091527
2013-07-09,905.241563
2013-07-10,905.991557
2013-07-11,920.241572
2013-07-12,923.001578
2013-07-15,924.691608
2013-07-16,919.611594
2013-07-17,918.551603
2013-07-18,910.681564
2013-07-19,896.601557
2013-07-22,910.701536
2013-07-23,903.801551
2013-07-24,902.901521
2013-07-25,887.701547
2013-07-26,885.351519
2013-07-29,882.271531
2013-07-30,890.921523
2013-07-31,887.751538
2013-08-01,904.221578
2013-08-02,906.571544
2013-08-05,905.00153
2013-08-06,896.571537
2013-08-07,890.651532
2013-08-08,892.661544
2013-08-09,890.4115
2013-08-12,885.511541
2013-08-13,881.251485
2013-08-14,869.811468
2013-08-15,859.661487
2013-08-16,856.911467
2013-08-19,865.651456
2013-08-20,865.421471
2013-08-21,869.331464
2013-08-22,873.711475
2013-08-23,870.211522
2013-08-26,866.391464
2013-08-27,850.151471
2013-08-28,848.551438
2013-08-29,855.431451
2013-08-30,846.901475
2013-09-03,860.381462
2013-09-04,871.6315
2013-09-05,879.561517
2013-09-06,879.581489
2013-09-09,888.051548
2013-09-10,888.67154
2013-09-11,896.191517
2013-09-12,893.061537
2013-09-13,889.071533
2013-09-16,887.761524
2013-09-17,886.1115
2013-09-18,903.321548
2013-09-19,898.391569
2013-09-20,903.111535
2013-09-23,886.501507
2013-09-24,886.841522
2013-09-25,877.231523
2013-09-26,878.171497
2013-09-27,876.391532
2013-09-30,875.911528
2013-10-01,887.001544
